slack_post_date,client,se_reply,has_se_handoff,notes
2026-08-21,Teamworks GM (Self-Managed),,no,"Amanda cc'd, no thread reply; self-serve workspace under Teamworks parent"
2026-08-21,Teamworks Influencer (Self-Managed),,no,"Amanda cc'd, no thread reply; self-serve workspace under Teamworks parent"
2026-08-21,Teamworks S&C (Self-Managed),,no,"Amanda cc'd, no thread reply; self-serve workspace under Teamworks parent"
2026-08-21,Signant Health,Becca,yes,"Done"
2026-08-10,Bilt,Ian,yes,"Done"
2026-08-05,Teamworks PFF,,no,"no replies at all"
2026-07-31,ICANN,,no,
2026-07-07,ContinuumCloud,Ian,yes,"context replies, no Done; workshop run without client credentials"
2026-07-06,Kai,,no,
2026-07-06,Neighborly Software,Jun,yes,"Done"
2026-07-06,Lovable,,no,
2026-06-24,Omada Health,,no,"account reassigned mid-thread"
2026-06-24,Priority Dispatch,Ian,yes,"Done plus Notion SE handoff doc"
2026-06-17,Rippling,,no,
2026-06-17,Wedbush,Jun,yes,"Done"
2026-06-08,Veg ER,Jun,yes,"Done"
2026-06-01,Synergy Pet Group,Dion,yes,"Notion SE handoff doc plus Done"
2026-05-29,Farmer's Business Network,Ricky,yes,"Done"
2026-05-29,Pendo,Becca,yes,"Done"
2026-05-26,Collaboration AI,Dion,yes,"Notion handoff doc, no literal Done"
2026-05-25,Sleeper,Dion,yes,"done"
2026-05-22,Arnica,Becca,yes,"Done"
2026-05-11,Pie,Becca,yes,"Done"
2026-05-08,Gravitate Energy,,no,"thread was about QA Lead assignment fix"
2026-04-29,pagerhealth,,no,
2026-04-29,ServiceTitan,,no,"Jun posted congrats only, not a handoff"
2026-04-20,SqlDBM,Dion,yes,"done"
2026-04-15,Citizen,Becca,yes,"Done"
2026-04-10,Phil,Dion,yes,"Sebastian flagged the routing, Dion delivered done"
2026-04-01,Quickplay,Becca,yes,"handoff context thread"
2026-03-31,Nue,Ricky,yes,"Done"
2026-03-31,simile,Becca,yes,"handoff context thread; Amanda fixed client name capitalization"
2026-03-31,ziosk,Becca,yes,"handoff doc context thread; Amanda fixed name capitalization"
2026-03-31,Omnicell,Becca,yes,"context thread"
2026-03-30,Epsilon3,Ricky,yes,"Done"
2026-03-27,Acuity Insights,Becca,yes,"Done, Gong context still to be added"
2026-03-19,GC AI,Dion,yes,"done"
2026-03-09,Arteria AI,Jun,yes,"Done"
2026-03-04,Lexipol,Dion,yes,"done"
2026-03-02,Anything,Jun,yes,"Done"
2026-02-25,Unwrap,Dion,yes,"done"
2026-02-25,Influur,Becca,yes,"Done"
2026-02-25,Luma AI,,no,"Sebastian noted the deal closed without SE demos"
2026-02-23,Ollie,Becca,yes,"Done"
2026-02-04,Clearstory,Becca,yes,"Done"
2026-01-29,Cursor,,no,"Becca asked a logo question; deal unsigned when channel was created"
2026-01-28,all gravy,Ricky,yes,"Done; 75 iOS plus 75 Android tests at different prices"
2026-01-27,Cameo,,no,
2026-01-15,LearnLux,Dion,yes,"done"
2026-01-13,MegaCorp,Becca,yes,"Done"
2026-01-12,bridgerphotonics,Ricky,yes,"Done"
2026-01-05,PlayMetrics,Becca,yes,"Done"
2026-01-04,SAGA Diagnostics,Jun,yes,"Done"
2026-01-02,Empeon,Becca,yes,"Done"
2025-12-23,Purpose Unlimited,Ian,yes,"Done"
2025-12-22,The Mind Company,,no,"MRR field shows 1200000, likely an entry error"
2025-12-22,SmartX,Ian,yes,"Done"
2025-12-22,RepeatMD,,no,
2025-12-18,SignaPay,,no,
2025-12-18,Genies,Ricky,yes,"Done"
2025-12-18,Kepler,Becca,yes,"Done"
2025-12-16,OpenSpace Production,,no,"self-serve production workspace for existing customer; Sebastian asked if it was a test, team said safe to ignore; MRR 0, test budget undefined"
2025-12-12,NormAI,Becca,yes,"Done"
2025-12-10,Sixfold,Ricky,yes,"Done"
2025-12-10,Kraken,Ricky,yes,"Done"
2025-12-01,ThriveTRM,Becca,yes,"Done"
2025-12-01,Rivian,Dion,yes,"Done; pilot 200 primary web tests, annual 400 primary plus 50 secondary"
2025-12-01,GOVX,Ian,yes,"Done"
2025-11-25,LeanData,Becca,yes,"Done"
2025-11-18,Drawbridge,Ian,yes,"Done"
2025-11-17,Fanatics,Becca,yes,"Notion SE to QAL handoff doc plus live context meeting; static IP whitelisting thread"
2025-11-11,Certara,Becca,yes,"Done"
2025-10-31,Yupp.ai,,no,
2025-10-30,Soraban,Ricky,yes,"Done"
2025-10-30,Oak,Ian,yes,"Done; long Teams shared-channel setup thread followed"
2025-10-29,Vida Health,Dion,yes,"done; split pricing across web, Android and iOS could not be entered in the script"
2025-10-24,CodeRabbit,Jun,yes,"Done; MRR field shows 15000000, AE corrected it to 6000"
2025-10-16,Brisk Teaching,,no,"discounts applied to first invoice"
2025-10-15,POSH,Dion,yes,"Done; QA Lead was initially assigned in error"
2025-10-10,Boot Barn,Becca,yes,"Done"
2025-01-28,ARB Interactive,Sebastian,yes,"Done"
2025-01-23,ISM,Sebastian,yes,"Done; Cohen asked whether mobile was in scope, Charlie confirmed web only to start"
2025-01-21,Judge.me,,no,
2025-01-07,GoFormz,Lauren Wurscher,yes,"Sebastian routed it; Lauren had run the earlier web and mobile tests; 60 web plus 60 Android at different prices per AE"
2025-01-02,Statsig,Amanda Morrow,yes,"Sebastian asked Amanda Morrow to post findings; she replied Done"
2024-12-31,Hippocratic AI,Sebastian,yes,"Done"
2024-12-31,SmartSuite,Sebastian,yes,"Done"
2024-12-31,Strata Company,,no,
2024-12-20,Redox,,no,"thread used to fix the finops tag in the onboarding automation"
2024-12-16,Leonardo247,Sebastian,yes,"Done; real split was 150 web, 60 Android emulation, 75 triage slot tests at different prices"
2024-12-13,Verus Mortgage Capital,,no,"automation logged 399 tests instead of 400"
2024-12-11,Iceberg Finance,Amanda Morrow,yes,"Done; automation logged 124 tests instead of 125"
2024-12-09,Remo Health,Amanda Morrow,yes,"Done; Sebastian had no context and routed it"
2024-12-06,Castor,Sebastian,yes,"Done"
2024-12-05,Tava Health,Lauren Wurscher,yes,"Sebastian had no context and routed it; Lauren had written a test in Q2 2024"
2024-11-30,Bold Commerce,Sebastian,yes,"Done"
2024-11-22,Homebot,,no,"pilot was 100 tests ramping to 175, not the 174 shown"
2024-11-19,PropertyReach,,no,"MS Teams POC invite failed; test count corrected to 100"
2024-11-08,Eldermark,Sebastian,yes,"Done"
2024-11-07,Kognitos,,no,"iguanas group tag was broken in the automation; start date was 10/31 not 11/07"
2024-04-09,Zilo,,no,"AE field wrongly showed Luke; MS Teams POC invite needed manual send"
2024-03-25,Spoiler Alert,Lauren Wurscher,yes,"Done"
2024-03-21,Hartigen,Lauren Wurscher,yes,"Done; posted by LukeBot"
2024-03-19,Visiting Media,Lauren Wurscher,yes,"Done; posted by LukeBot, QAM and QAL fields rendered as [object Object]"
2024-03-18,Quadratic,Lauren Wurscher,yes,"Done"
2024-03-18,The Brand Power Company,,no,"Lauren had no updates; posted manually by Luke after the script failed; start date and MRR filled in by the AE in thread"
2024-03-14,Compliancy Group,,no,"Lauren had no input on this one"
2024-03-07,Podium,,no,"Lauren was not involved; QA lead reassigned mid-thread"
2024-02-29,Onebrief,Lauren Wurscher,yes,"Done"
2024-02-21,Wagepoint,Lauren Wurscher,yes,"Done"
2024-02-20,TaxBit,Lauren Wurscher,yes,"Done"
2024-02-16,Fullbay,Lauren Wurscher,yes,"Done"
2024-02-12,DataChat,Lauren Wurscher,yes,"Done"
2024-02-12,Panorama Education,Lauren Wurscher,yes,"Done; no pilot on an A account, discussed in thread"
2024-02-01,Risilience,Lauren Wurscher,yes,"Done; MS Teams action item fired in error"
2024-01-31,Captions,Lauren Wurscher,yes,"Done; Lauren also attached a recording of three bugs she found"
2024-01-27,Glide,Lauren Wurscher,yes,"Done"
2024-01-26,Peoplefinders,Lauren Wurscher,yes,"Done; AE notes this account is actually Enformion"
2024-01-24,Archer,Lauren Wurscher,yes,"Done; QA lead reassigned and process changed as a result of this thread"
2024-01-23,ActivTrak,Lauren Wurscher,yes,"Done; earliest onboarding post in the channel"
